idquiz,idEstudiante,idQuestion,FechQuiz,Respuesta,Audit
1,1000084151,1,2017-10-19,b,"2017-10-19 04:26:41"
1,1111,6,2017-10-20,c,"2017-10-20 07:14:10"
1,1111,13,2017-10-13,b,"2017-10-13 16:27:50"
1,99112905746,14,2017-10-19,b,"2017-10-19 15:27:13"
2,1000084151,2,2017-10-19,c,"2017-10-19 04:06:40"
2,1000099222,19,2017-10-13,b,"2017-10-13 08:37:25"
2,1004578531,26,2017-10-19,c,"2017-10-19 15:28:27"
2,1111,21,2017-10-20,a,"2017-10-20 07:18:47"
2,1111,40,2017-10-13,a,"2017-10-13 16:27:53"
3,1000084151,3,2017-10-19,c,"2017-10-19 04:08:58"
3,1000639851,37,2017-10-20,a,"2017-10-20 13:42:44"
3,1111,22,2017-10-13,b,"2017-10-13 16:27:55"
3,99112905746,15,2017-10-19,d,"2017-10-19 15:28:29"
4,1000084151,4,2017-10-19,c,"2017-10-19 03:59:16"
4,1000099222,26,2017-10-13,c,"2017-10-13 08:37:52"
4,1000639851,9,2017-10-20,b,"2017-10-20 13:42:57"
4,1004578531,18,2017-10-19,c,"2017-10-19 15:29:20"
4,1111,14,2017-10-13,b,"2017-10-13 16:27:58"
5,1000084151,5,2017-10-19,a,"2017-10-19 04:09:30"
5,1000639851,15,2017-10-20,d,"2017-10-20 13:43:21"
5,1001010939,27,2017-10-13,c,"2017-10-13 08:38:19"
5,1007242789,6,2017-10-19,c,"2017-10-19 15:30:39"
5,1111,25,2017-10-13,b,"2017-10-13 16:28:02"
6,1000084151,6,2017-10-19,c,"2017-10-19 04:11:32"
6,1000639851,12,2017-10-20,b,"2017-10-20 13:43:35"
6,1004578531,5,2017-10-19,c,"2017-10-19 15:30:40"
6,1007350833,27,2017-10-13,c,"2017-10-13 08:38:34"
7,1000084151,7,2017-10-19,c,"2017-10-19 04:04:38"
7,1000639851,17,2017-10-20,f,"2017-10-20 13:43:41"
7,1007240205,6,2017-10-19,c,"2017-10-19 15:30:47"
7,1111,34,2017-10-13,b,"2017-10-13 16:28:15"
8,1000084151,8,2017-10-19,b,"2017-10-19 04:18:43"
8,1000396112,22,2017-10-19,a,"2017-10-19 15:30:53"
8,1111,1,2017-10-13,b,"2017-10-13 16:28:17"
8,11903304,31,2017-10-20,c,"2017-10-20 13:43:45"
9,1000084151,9,2017-10-19,b,"2017-10-19 04:28:11"
9,1001233082,23,2017-10-13,b,"2017-10-13 08:39:46"
9,1007242789,24,2017-10-19,a,"2017-10-19 15:31:13"
9,1111,12,2017-10-13,b,"2017-10-13 16:28:20"
9,11903304,17,2017-10-20,f,"2017-10-20 13:43:50"
10,1000084151,10,2017-10-19,c,"2017-10-19 04:16:58"
10,1007227098,28,2017-10-13,a,"2017-10-13 08:39:49"
10,1020488138,24,2017-10-19,a,"2017-10-19 15:31:14"
10,1111,19,2017-10-13,b,"2017-10-13 16:28:27"
10,11903304,30,2017-10-20,a,"2017-10-20 13:43:55"
11,1000084151,11,2017-10-19,b,"2017-10-19 04:24:47"
11,1001025819,11,2017-10-13,b,"2017-10-13 08:39:49"
11,1111,7,2017-10-13,c,"2017-10-13 16:28:31"
11,11903304,28,2017-10-20,a,"2017-10-20 13:44:03"
11,99112905746,28,2017-10-19,a,"2017-10-19 15:31:19"
12,1000084151,12,2017-10-19,b,"2017-10-19 04:09:38"
12,1001233082,22,2017-10-13,c,"2017-10-13 08:39:57"
12,1007240205,21,2017-10-19,c,"2017-10-19 15:31:28"
12,1111,23,2017-10-13,b,"2017-10-13 16:28:34"
12,1128227439,20,2017-10-20,a,"2017-10-20 13:44:04"
13,1000084151,13,2017-10-19,b,"2017-10-19 04:27:30"
13,1007242789,26,2017-10-19,c,"2017-10-19 15:31:32"
13,1111,30,2017-10-13,c,"2017-10-13 16:28:38"
13,99051402240,32,2017-10-20,b,"2017-10-20 13:44:07"
14,1000084151,14,2017-10-19,a,"2017-10-19 04:17:55"
14,1000415794,28,2017-10-13,a,"2017-10-13 08:40:00"
14,1000639851,23,2017-10-20,b,"2017-10-20 13:44:11"
14,1007240205,26,2017-10-19,c,"2017-10-19 15:31:45"
14,1111,36,2017-10-13,a,"2017-10-13 16:28:40"
15,1000084151,15,2017-10-19,d,"2017-10-19 04:13:33"
15,1111,37,2017-10-13,a,"2017-10-13 16:28:42"
15,11903304,6,2017-10-20,c,"2017-10-20 13:44:11"
15,99112905746,2,2017-10-19,c,"2017-10-19 15:31:59"
16,1000084151,16,2017-10-19,e,"2017-10-19 04:00:45"
16,1000639851,26,2017-10-20,c,"2017-10-20 13:44:15"
16,1001010939,25,2017-10-13,b,"2017-10-13 08:40:24"
16,1004578531,32,2017-10-19,b,"2017-10-19 15:32:02"
